日期,类型,代码,名称,价格,涨跌%,成交量,相对量,RSI,SAR,EMA20,50日均线,信号,AI点评
2026-09-24,表格,PHYS,"""Sprott Physical Gold Trust""",32.18,-0.62,5495671,1.26,42.68,空头,32.898,32.534,,
2026-09-24,表格,SHEL,Shell PLC,95.6,0.2,5373684,0.83,57.57,空头,94.316,91.25,,
2026-09-24,表格,PSLV,"""Sprott Physical Silver Trust""",20.76,-1.0,5138953,0.78,45.95,多头,21.262,20.677,,
2026-09-24,表格,BRK-A,Berkshire Hathaway Inc.,759200.0,-0.76,149,0.66,48.69,空头,762121.26,758437.04,,
